MatchId;Round;Host;Guest;Date;Hour;Attendance;HostGoals;GuestGoals
1;1;Cracovia;Piast Gliwice;21 lipca;14:45;10698;1;1
2;1;GKS Katowice;Radomiak Radom;20 lipca;14:45;6720;1;2
3;1;Jagiellonia Białystok;Puszcza Niepołomice;19 lipca;18:00;17157;2;0
4;1;Lech Poznań;Górnik Zabrze;21 lipca;17:30;19620;2;0
5;1;Legia Warszawa;Zagłębie Lubin;20 lipca;20:15;25542;2;0
6;1;Motor Lublin;Raków Częstochowa;21 lipca;20:15;14158;0;2
7;1;Pogoń Szczecin;Korona Kielce;20 lipca;17:30;18743;3;0
8;1;Stal Mielec;Widzew Łódź;22 lipca;19:00;6446;1;1
9;1;Śląsk Wrocław;Lechia Gdańsk;19 lipca;20:30;23646;1;1
10;2;Korona Kielce;Legia Warszawa;28 lipca;20:15;14289;0;1
11;2;Lechia Gdańsk;Motor Lublin;26 lipca;20:30;14223;0;2
12;2;Piast Gliwice;Śląsk Wrocław;28 lipca;17:30;5748;2;0
13;2;Puszcza Niepołomice;Górnik Zabrze;26 lipca;18:00;2620;2;2
14;2;Radomiak Radom;Jagiellonia Białystok;27 lipca;17:30;8563;2;3
15;2;Raków Częstochowa;Cracovia;29 lipca;19:00;5481;0;1
16;2;Stal Mielec;GKS Katowice;27 lipca;14:45;5565;0;1
17;2;Widzew Łódź;Lech Poznań;27 lipca;20:15;17527;2;1
18;2;Zagłębie Lubin;Pogoń Szczecin;28 lipca;14:45;7358;2;2
19;3;Cracovia;Widzew Łódź;5 sierpnia;19:00;11933;1;3
20;3;GKS Katowice;Raków Częstochowa;3 sierpnia;14:45;6780;0;1
21;3;Górnik Zabrze;Pogoń Szczecin;2 sierpnia;20:30;18700;1;0
22;3;Jagiellonia Białystok;Stal Mielec;3 sierpnia;17:30;15719;2;0
23;3;Lech Poznań;Lechia Gdańsk;3 sierpnia;20:15;20383;3;1
24;3;Legia Warszawa;Piast Gliwice;4 sierpnia;20:15;24633;1;2
25;3;Motor Lublin;Korona Kielce;4 sierpnia;14:45;14562;1;1
26;3;Śląsk Wrocław;Radomiak Radom;14 grudnia;17:30;10055;1;2
27;3;Zagłębie Lubin;Puszcza Niepołomice;2 sierpnia;18:00;3876;1;0
28;4;Korona Kielce;Cracovia;10 sierpnia;17:30;11931;0;2
29;4;Lechia Gdańsk;Zagłębie Lubin;11 sierpnia;14:45;12888;1;1
30;4;Motor Lublin;Jagiellonia Białystok;25 września;19:00;10812;0;2
31;4;Piast Gliwice;GKS Katowice;12 sierpnia;19:00;7805;2;2
32;4;Pogoń Szczecin;Stal Mielec;10 sierpnia;20:15;17169;1;0
33;4;Puszcza Niepołomice;Legia Warszawa;11 sierpnia;17:30;3495;2;2
34;4;Radomiak Radom;Górnik Zabrze;9 sierpnia;18:00;8564;1;2
35;4;Raków Częstochowa;Lech Poznań;9 sierpnia;20:30;5500;0;0
36;4;Widzew Łódź;Śląsk Wrocław;11 sierpnia;20:15;17663;0;0
37;5;GKS Katowice;Motor Lublin;16 sierpnia;20:30;6684;0;0
38;5;Górnik Zabrze;Raków Częstochowa;18 sierpnia;20:15;17034;0;0
39;5;Jagiellonia Białystok;Cracovia;17 sierpnia;14:45;17078;2;4
40;5;Legia Warszawa;Radomiak Radom;18 sierpnia;17:30;24376;4;1
41;5;Pogoń Szczecin;Widzew Łódź;17 sierpnia;20:15;19846;2;0
42;5;Puszcza Niepołomice;Lechia Gdańsk;16 sierpnia;18:00;1669;4;1
43;5;Stal Mielec;Piast Gliwice;19 sierpnia;19:00;4308;2;0
44;5;Śląsk Wrocław;Korona Kielce;18 sierpnia;14:45;14081;1;1
45;5;Zagłębie Lubin;Lech Poznań;17 sierpnia;17:30;13331;0;1
46;6;Cracovia;Górnik Zabrze;24 sierpnia;17:30;10106;3;2
47;6;GKS Katowice;Jagiellonia Białystok;25 sierpnia;14:45;6690;3;1
48;6;Korona Kielce;Stal Mielec;26 sierpnia;19:00;11057;2;1
49;6;Lech Poznań;Pogoń Szczecin;25 sierpnia;17:30;29156;2;0
