MatchId;Scorer;Minute;isPenalty;isOwnGoal;isHostTeamGoal
1;Mick van Buren;89;False;False;True
1;Jorge Félix;18;False;False;False
2;Mateusz Marzec;83;False;False;True
2;Leonardo Rocha;24;False;False;False
2;Leonardo Rocha;37;False;False;False
3;Nené;78;False;False;True
3;Lamine Diaby-Fadiga;90;False;False;True
4;Mikael Ishak;32;True;False;True
4;Dino Hotić;90;False;False;True
5;Rafał Augustyniak;86;False;False;True
5;Luquinhas;90;False;False;True
6;Ante Crnac;32;False;False;False
6;Dawid Drachal;87;False;False;False
7;Efthýmis Kouloúris;35;False;False;True
7;Efthýmis Kouloúris;47;True;False;True
7;Kacper Łukasiak;84;False;False;True
8;Ilja Szkurin;45;False;False;True
8;Jakub Łukowski;73;False;False;False
9;Tommaso Guercio;90;False;False;True
9;Tomasz Neugebauer;12;False;False;False
10;Luquinhas;74;False;False;False
11;Samuel Mráz;71;False;False;False
11;Piotr Ceglarz;74;False;False;False
12;Michael Ameyaw;8;False;False;True
12;Arkadiusz Pyrka;45;False;False;True
13;Michális Kossídis;52;False;False;True
13;Jakub Serafin;60;False;False;True
13;Manu Sánchez;11;False;False;False
13;Damian Rasak;56;False;False;False
14;Leonardo Rocha;52;True;False;True
14;Leonardo Rocha;77;False;False;True
14;Jarosław Kubicki;34;False;False;False
14;Jarosław Kubicki;40;False;False;False
14;Miki Villar;88;False;False;False
15;Mikkel Maigaard;48;False;False;False
16;Arkadiusz Jędrych;31;True;False;False
17;Jakub Sypek;3;False;False;True
17;Fran Álvarez;10;False;False;True
17;Mikael Ishak;42;False;False;False
18;Tomasz Pieńko;19;False;False;True
18;Dawid Kurminowski;28;True;False;True
18;Efthýmis Kouloúris;17;False;False;False
18;Patryk Paryzek;83;False;False;False
19;Benjamin Källman;4;False;False;True
19;Jakub Łukowski;21;False;False;False
19;Fran Álvarez;74;False;False;False
19;Imad Rondić;90;False;False;False
20;Jean Carlos Silva;29;False;False;False
21;Luka Zahovič;83;False;False;True
22;Afimico Pululu;24;False;False;True
22;Jesús Imaz;67;False;False;True
23;Mikael Ishak;3;False;False;True
23;Mikael Ishak;40;False;False;True
23;Dino Hotić;35;False;False;True
23;Karl Wendt;90;False;False;False
24;Blaž Kramer;45;False;False;True
24;Michał Chrapek;20;False;False;False
24;Tihomir Kostadinov;85;False;False;False
25;Piotr Ceglarz;82;True;False;True
