MatchId;Round;Host;Guest;Date;Hour;Attendance;HostGoals;GuestGoals
1;1;Górnik Zabrze;Radomiak Radom;23 lipca;15:00;16543;0;2
2;1;Korona Kielce;Śląsk Wrocław;24 lipca;19:00;12266;1;1
3;1;Legia Warszawa;ŁKS Łódź;21 lipca;20:30;26584;3;0
4;1;Piast Gliwice;Lech Poznań;22 lipca;20:00;5784;1;2
5;1;Raków Częstochowa;Jagiellonia Białystok;22 lipca;17:30;5346;3;0
6;1;Stal Mielec;Cracovia;22 lipca;15:00;6392;2;2
7;1;Warta Poznań;Pogoń Szczecin;21 lipca;18:00;3274;0;1
8;1;Widzew Łódź;Puszcza Niepołomice;23 lipca;20:00;17098;3;2
9;1;Zagłębie Lubin;Ruch Chorzów;23 lipca;17:30;8763;2;1
10;2;Cracovia;Legia Warszawa;20 grudnia;19:00;8093;2;0
11;2;Jagiellonia Białystok;Puszcza Niepołomice;29 lipca;17:30;8478;4;1
12;2;Korona Kielce;Raków Częstochowa;13 marca;18:30;7747;0;2
13;2;Lech Poznań;Radomiak Radom;30 lipca;17:30;23198;2;0
14;2;Pogoń Szczecin;Widzew Łódź;30 lipca;20:00;20024;2;1
15;2;Ruch Chorzów;ŁKS Łódź;28 lipca;20:30;9736;2;0
16;2;Stal Mielec;Piast Gliwice;30 lipca;15:00;5526;0;0
17;2;Śląsk Wrocław;Zagłębie Lubin;29 lipca;20:00;16928;1;2
18;2;Warta Poznań;Górnik Zabrze;29 lipca;15:00;2079;2;0
19;3;Górnik Zabrze;Piast Gliwice;5 sierpnia;17:30;16697;0;0
20;3;Jagiellonia Białystok;Widzew Łódź;4 sierpnia;18:00;11547;2;1
21;3;Legia Warszawa;Ruch Chorzów;6 sierpnia;20:00;25247;3;0
22;3;ŁKS Łódź;Korona Kielce;4 sierpnia;20:30;10428;2;1
23;3;Puszcza Niepołomice;Stal Mielec;7 sierpnia;19:00;2898;1;0
24;3;Radomiak Radom;Cracovia;5 sierpnia;20:00;8279;0;1
25;3;Raków Częstochowa;Warta Poznań;5 sierpnia;15:00;5236;2;2
26;3;Zagłębie Lubin;Lech Poznań;6 sierpnia;17:30;15813;1;1
27;3;Pogoń Szczecin;Śląsk Wrocław;30 sierpnia;18:30;14562;0;2
28;4;Cracovia;Zagłębie Lubin;11 sierpnia;18:00;8437;2;1
29;4;Korona Kielce;Górnik Zabrze;12 sierpnia;17:30;11828;0;1
30;4;Lech Poznań;Jagiellonia Białystok;24 października;18:00;15372;3;3
