MatchId;Scorer;Minute;isPenalty;isOwnGoal;isHostTeamGoal
1;Pedro Henrique;60;False;False;False
1;Rafał Wolski;65;False;False;False
2;Adrián Dalmau;83;False;False;True
2;Martin Konczkowski;48;False;False;False
3;Tomáš Pekhart;25;False;False;True
3;Tomáš Pekhart;56;False;False;True
3;Tomáš Pekhart;68;False;False;True
4;Patryk Dziczek;43;True;False;True
4;Filip Marchwiński;46;False;False;False
4;Filip Marchwiński;54;False;False;False
5;Łukasz Zwoliński;45;False;False;True
5;Łukasz Zwoliński;63;True;False;True
5;Bartosz Nowak;65;False;False;True
6;Ilja Szkurin;24;False;False;True
6;Maciej Domański;36;False;False;True
6;Paweł Jaroszyński;54;False;False;False
6;Michał Rakoczy;61;False;False;False
7;Efthýmis Kouloúris;36;False;False;False
8;Fran Álvarez;35;False;False;True
8;Patryk Stępiński;55;False;False;True
8;Andrejs Cigaņiks;90;False;False;True
8;Artur Siemaszko;8;False;False;False
8;Rok Kidrič;90;False;False;False
9;Tomasz Makowski;71;False;False;True
9;Bartłomiej Kłudka;81;False;False;True
9;Aleks Ławniczak;28;False;True;False
10;Benjamin Källman;25;False;False;True
10;Benjamin Källman;57;False;False;True
11;Wojciech Łaski;45;False;False;True
11;Nené;66;False;False;True
11;Afimico Pululu;81;False;False;True
11;Jakub Lewicki;88;False;False;True
11;Łukasz Sołowiej;76;False;False;False
12;Ante Crnac;3;False;False;False
12;Władysław Koczerhin;6;False;False;False
13;Mikael Ishak;40;False;False;True
13;Filip Szymczak;83;False;False;True
14;Luka Zahovič;46;False;False;True
14;Efthýmis Kouloúris;64;False;False;True
14;Bartłomiej Pawłowski;4;False;False;False
15;Kacper Michalski;14;False;False;True
15;Tomasz Swędrowski;75;False;False;True
17;Erik Expósito;24;True;False;True
17;Dawid Kurminowski;53;False;False;False
17;Damjan Bohar;57;False;False;False
18;Kajetan Szmyt;35;True;False;True
18;Mateusz Kupczak;87;False;False;True
20;Afimico Pululu;79;True;False;True
20;Bartłomiej Wdowik;86;False;False;True
20;Ernest Terpiłowski;36;False;False;False
21;Marc Gual;19;False;False;True
21;Tomáš Pekhart;43;False;False;True
21;Josué;68;False;False;True
22;Dani Ramírez;28;True;False;True
22;Artemijus Tutyškinas;90;False;False;True
22;Adrián Dalmau;88;True;False;False
23;Michał Walski;65;False;False;True
24;Benjamin Källman;24;False;False;False
25;Łukasz Zwoliński;50;True;False;True
25;Jean Carlos Silva;83;False;False;True
25;Miguel Luís;5;False;False;False
25;Maciej Żurawski;57;False;False;False
26;Dawid Kurminowski;41;False;False;True
26;Miha Blažič;76;False;False;False
27;Petr Schwarz;21;False;False;False
27;Piotr Samiec-Talar;85;False;False;False
28;Patryk Makuch;10;False;False;True
28;Patryk Makuch;35;False;False;True
28;Kacper Chodyna;90;True;False;False
29;Rafał Janicki;90;False;False;False
30;Adriel Ba Loua;3;False;False;True
30;Adriel Ba Loua;51;False;False;True
30;Mikael Ishak;43;False;False;True
30;Kristoffer Hansen;54;False;False;False
30;Mateusz Skrzypczak;66;False;False;False
30;Bartłomiej Wdowik;90;True;False;False
31;Patryk Dziczek;72;True;False;True
31;Zoran Arsenić;90;False;True;True
31;Władysław Koczerhin;81;False;False;False
32;Lisandro Semedo;20;False;False;False
32;Mateusz Cichocki;27;False;False;False
33;Łukasz Sołowiej;26;False;False;True
33;Josué;34;False;False;False
34;Kōki Hinokio;45;False;False;True
34;Kōki Hinokio;53;False;False;True
34;Michał Trąbka;55;False;False;True
34;Erik Expósito;90;True;False;False
35;Maciej Żurawski;16;False;False;True
35;Kajetan Szmyt;45;True;False;True
35;Tomasz Swędrowski;21;False;False;False
35;Michał Feliks;86;False;False;False
36;Jordi Sánchez;45;False;False;True
37;Benjamin Källman;44;False;False;True
37;Patryk Dziczek;90;True;False;False
38;Adrián Kaprálik;24;False;False;True
38;Jordi Sánchez;90;False;False;False
39;Makana Baku;26;False;False;True
40;Engjëll Hoti;90;False;False;True
41;Chrístos Dónis;4;False;False;True
41;Pedro Henrique;22;False;False;True
41;Leonardo Rocha;90;False;False;True
41;Kajetan Szmyt;20;True;False;False
41;Dario Vizinger;48;False;False;False
42;Giánnis Papanikoláou;45;False;False;True
42;Bartosz Nowak;63;False;False;True
43;Nené;84;False;False;False
44;Erik Expósito;37;False;False;True
44;Erik Expósito;73;False;False;True
44;Patryk Szwedzik;90;False;False;True
44;Kristoffer Velde;51;True;False;False
45;Kacper Chodyna;50;False;False;True
46;José Naranjo;7;False;False;True
46;Jesús Imaz;17;False;False;True
46;Bartłomiej Wdowik;45;False;False;True
46;Dominik Marczuk;64;False;False;True
46;Sebastian Musiolik;38;False;False;False
47;Nono;15;False;False;True
47;Adrián Dalmau;22;False;False;True
48;Michał Gurgul;7;False;False;True
48;Filip Marchwiński;25;False;False;True
48;Kristoffer Velde;72;False;False;True
48;Adriel Ba Loua;90;False;False;True
48;Deian Sorescu;2;False;False;False
50;Kamil Grosicki;29;False;False;True
50;Efthýmis Kouloúris;51;False;False;True
50;Wahan Biczachczjan;71;False;False;True
50;Tomáš Pekhart;33;False;False;False
50;Paweł Wszołek;69;False;False;False
50;Juergen Elitim;78;False;False;False
50;Steve Kapuadi;84;False;False;False
51;Artur Crăciun;25;True;False;True
51;Mateusz Cholewiak;73;False;False;True
51;Kay Tejan;46;False;False;False
52;Bert Esselink;22;False;False;True
52;Łukasz Gerstenstein;45;False;False;True
54;Nahuel Leiva;12;False;False;False
54;Aleksander Paluszek;80;False;False;False
56;Alan Czerwiński;70;False;False;True
56;Daisuke Yokota;45;True;False;False
57;Ernest Muçi;5;False;False;True
57;Ernest Muçi;75;False;False;True
57;Josué;90;True;False;True
57;Jordi Sánchez;44;False;False;False
58;Stefan Savić;10;False;False;False
58;Kajetan Szmyt;62;True;False;False
59;Pedro Henrique;54;False;False;True
59;Michał Chrapek;73;True;False;False
60;Sonny Kittel;19;False;False;True
60;Bartosz Nowak;26;False;False;True
61;Daniel Szczepan;18;False;False;True
61;Ilja Szkurin;45;False;False;False
62;Erik Expósito;47;False;False;True
62;Erik Expósito;81;True;False;True
