MatchId;Scorer;Minute;isPenalty;isOwnGoal;isHostTeamGoal
1;Ernest Terpiłowski;41;False;False;True
1;Grzegorz Tomasiewicz;48;True;False;False
2;Jesús Imaz;55;False;False;True
2;Łukasz Zwoliński;52;False;False;False
4;Ernest Muçi;28;False;False;True
5;Michał Chrapek;5;False;False;True
5;Patryk Sokołowski;66;False;False;True
5;Mateusz Wdowiak;43;False;False;False
5;Wiktor Długosz;70;False;False;False
5;Ivi López;75;True;False;False
6;Michał Kucharczyk;33;False;False;True
6;Kacper Kozłowski;66;False;False;True
7;Róbert Pich;50;False;False;True
7;Erik Expósito;63;False;False;True
7;Jan Grzesik;27;False;False;False
7;Mateusz Czyżycki;76;False;False;False
8;Yaw Yeboah;25;True;False;True
8;Jan Kliment;29;False;False;True
8;Mateusz Młyński;81;False;False;True
9;Bartosz Śpiączka;42;False;False;True
9;Marcos Álvarez;82;False;False;False
10;Adam Radwański;28;False;False;True
10;Piotr Wlazło;66;False;False;True
10;Gieorgij Żukow;56;False;False;False
10;Maciej Sadlok;90;False;False;False
11;Pelle van Amersfoort;90;False;False;True
11;Róbert Pich;16;True;False;False
11;Erik Expósito;88;False;False;False
12;Jesús Jiménez;8;True;False;True
12;Jakub Kamiński;38;False;False;False
12;Mikael Ishak;49;False;False;False
12;Michał Skóraś;69;False;False;False
13;Dawid Kocyła;63;False;True;True
14;Mateusz Radecki;46;False;False;True
14;Karol Angielski;80;False;False;True
14;Dominik Sokół;90;False;False;True
14;Maik Nawrocki;82;False;False;False
15;Kristopher Vida;18;False;False;False
15;Arkadiusz Pyrka;45;False;False;False
16;Robert Ivanov;84;False;False;True
16;Kamil Drygas;12;True;False;False
17;Patryk Szysz;22;False;False;True
17;Patryk Szysz;85;False;False;True
17;Saša Živec;55;False;False;True
17;Przemysław Banaszak;33;False;False;False
18;Taras Romanczuk;35;False;False;True
18;Taras Romanczuk;87;False;False;True
18;Jesús Imaz;38;False;False;True
19;Jesús Jiménez;75;False;False;True
20;Tomáš Přikryl;45;False;False;True
21;Bartosz Salamon;47;False;False;True
21;Jakub Kamiński;54;False;False;True
22;Rafael Lopes;26;False;False;True
22;Rafael Lopes;39;False;False;True
22;Tomáš Pekhart;49;False;False;True
22;Mateusz Hołownia;53;False;False;True
23;Jakub Czerwiński;34;False;True;True
