MatchId;Round;Host;Guest;Date;Hour;Attendance;HostGoals;GuestGoals
1;1;Bruk-Bet Termalica Nieciecza;Stal Mielec;23 lipca;18:00;4184;1;1
2;1;Jagiellonia Białystok;Lechia Gdańsk;24 lipca;17:30;8193;1;1
3;1;Lech Poznań;Radomiak Radom;23 lipca;20:30;10177;0;0
4;1;Legia Warszawa;Wisła Płock;24 lipca;20:00;10260;1;0
5;1;Piast Gliwice;Raków Częstochowa;25 lipca;15:00;4408;2;3
6;1;Pogoń Szczecin;Górnik Zabrze;25 lipca;20:00;6097;2;0
7;1;Śląsk Wrocław;Warta Poznań;25 lipca;17:30;8278;2;2
8;1;Wisła Kraków;Zagłębie Lubin;26 lipca;18:00;13668;3;0
9;1;Górnik Łęczna;Cracovia;24 lipca;15:00;3714;1;1
10;2;Bruk-Bet Termalica Nieciecza;Wisła Kraków;31 lipca;17:30;4480;2;2
11;2;Cracovia;Śląsk Wrocław;1 sierpnia;17:30;6144;1;2
12;2;Górnik Zabrze;Lech Poznań;30 lipca;20:30;18659;1;3
13;2;Lechia Gdańsk;Wisła Płock;2 sierpnia;18:00;7772;1;0
14;2;Radomiak Radom;Legia Warszawa;31 lipca;20:00;3950;3;1
15;2;Stal Mielec;Piast Gliwice;31 lipca;15:00;3323;0;2
16;2;Warta Poznań;Pogoń Szczecin;1 sierpnia;15:00;2328;1;1
17;2;Zagłębie Lubin;Górnik Łęczna;30 lipca;18:00;2340;3;1
18;2;Jagiellonia Białystok;Raków Częstochowa;1 sierpnia;20:00;7683;3;0
19;3;Górnik Zabrze;Stal Mielec;7 sierpnia;17:30;11873;1;0
20;3;Jagiellonia Białystok;Bruk-Bet Termalica Nieciecza;7 sierpnia;15:00;7745;1;0
21;3;Lech Poznań;Cracovia;6 sierpnia;20:30;9111;2;0
22;3;Legia Warszawa;Zagłębie Lubin;15 grudnia;20:30;7754;4;0
23;3;Pogoń Szczecin;Piast Gliwice;8 sierpnia;15:00;6400;1;0
24;3;Śląsk Wrocław;Lechia Gdańsk;8 sierpnia;20:00;9075;1;1
25;3;Wisła Kraków;Raków Częstochowa;8 sierpnia;17:30;15317;1;2
26;3;Wisła Płock;Radomiak Radom;9 sierpnia;18:00;1500;1;0
27;3;Górnik Łęczna;Warta Poznań;6 sierpnia;18:00;2710;0;4
28;4;Bruk-Bet Termalica Nieciecza;Lech Poznań;13 sierpnia;18:00;4323;1;3
29;4;Jagiellonia Białystok;Górnik Zabrze;16 sierpnia;18:00;10342;1;3
30;4;Lechia Gdańsk;Cracovia;14 sierpnia;17:30;9315;3;0
31;4;Piast Gliwice;Wisła Płock;14 sierpnia;15:00;2894;4;3
32;4;Raków Częstochowa;Radomiak Radom;29 września;17:00;4911;2;2
33;4;Stal Mielec;Wisła Kraków;13 sierpnia;20:30;3413;2;1
34;4;Śląsk Wrocław;Górnik Łęczna;15 sierpnia;17:30;7323;0;0
35;4;Warta Poznań;Legia Warszawa;14 sierpnia;20:00;3871;0;2
36;4;Zagłębie Lubin;Pogoń Szczecin;15 sierpnia;20:00;3200;2;0
37;5;Cracovia;Jagiellonia Białystok;21 sierpnia;17:30;6784;2;1
38;5;Lech Poznań;Lechia Gdańsk;22 sierpnia;17:30;14652;2;0
39;5;Legia Warszawa;Bruk-Bet Termalica Nieciecza;15 marca;18:45;9437;4;1
40;5;Piast Gliwice;Śląsk Wrocław;22 sierpnia;15:00;3798;1;1
41;5;Pogoń Szczecin;Stal Mielec;21 sierpnia;15:00;6676;4;1
42;5;Radomiak Radom;Warta Poznań;20 sierpnia;20:30;4222;1;0
43;5;Raków Częstochowa;Górnik Zabrze;15 grudnia;18:00;3012;1;2
